50 68
32 25 21
30 27 60
49 9 27
35 17 40
21 45 55
32 12 83
30 31 77
37 11 33
2 37 76
19 5 71
7 12 62
8 29 19
17 46 21
5 49 56
37 28 65
15 22 98
19 24 4
16 4 52
8 34 69
8 30 79
38 34 81
47 17 99
11 19 80
22 5 68
9 8 12
11 32 2
10 32 63
43 15 47
20 5 21
11 35 25
18 36 7
44 6 80
14 8 53
44 21 80
18 26 45
42 37 71
12 22 41
15 12 59
27 17 56
15 23 92
50 15 76
15 6 4
23 45 16
9 2 62
25 30 74
17 19 3
21 39 37
15 49 39
27 35 34
45 9 21
35 49 96
21 50 72
47 42 97
31 22 61
38 12 50
10 9 64
34 30 100
9 17 65
21 30 84
41 44 16
3 1 573
4 3 186
13 1 371
26 4 227
33 4 311
39 4 183
40 33 143
48 39 51
