100
86 2212
56 53 17647
16 59 1903
43 3 19233
57 78 6851
30 9 9783
50 26 10274
16 20 25499
5 74 7817
6 13 24811
47 66 2330
36 24 24486
77 34 32538
28 83 29057
50 47 21728
84 53 6191
19 55 7230
49 11 11923
47 74 17221
28 42 27266
40 4 5757
41 72 19881
65 2 10206
70 48 311
17 47 11832
47 8 26817
52 45 7777
51 42 263
38 82 8768
49 43 22909
56 22 21241
46 69 16724
9 33 32298
65 6 13918
61 70 20360
76 15 17463
4 81 21832
39 51 15330
80 34 14867
33 28 404
80 55 21889
13 45 5750
36 27 13643
23 2 25203
46 34 20664
56 8 9844
61 84 1269
84 40 31134
58 30 5200
15 36 21601
63 18 31638
68 14 641
66 86 22525
67 31 29026
72 62 7523
56 2 16957
2 42 20429
13 67 24576
20 11 9319
84 86 9997
66 34 11637
76 84 285
24 20 20981
37 2 16862
80 22 7392
13 83 8501
34 9 14672
74 10 30248
4 44 2037
21 39 25048
44 55 28568
40 86 31762
69 58 11687
51 78 23398
14 1 19703
42 55 4294
42 60 22594
68 2 29453
8 77 11020
73 22 28944
54 8 16116
38 42 8448
40 61 19608
15 33 31293
76 24 24217
8 59 8952
31 70 23143
15 8 3378
33 7 21963
7 12 22256
4 76 8576
36 29 4042
1 86 4138
80 24 14876
24 45 32399
67 35 10357
41 83 19687
55 37 18474
28 25 8849
30 25 4110
55 72 19606
58 50 14012
19 69 7361
36 23 5628
27 24 12853
18 71 18724
30 77 21955
49 41 25463
7 70 14433
22 69 26638
65 69 17291
2 31 29781
36 57 27482
80 42 415
6 9 20266
5 57 27095
76 3 31577
10 43 15067
33 6 24606
77 14 16585
80 76 3780
25 2 5558
9 78 24501
72 57 25651
55 74 24671
46 77 18450
51 59 28184
7 44 12150
51 72 14692
37 81 21856
6 68 9605
45 26 6982
16 37 11815
27 65 31561
49 66 24578
75 19 21735
3 56 4805
67 12 21563
18 21 16814
8 61 28051
53 12 22024
1 42 11852
70 44 31142
77 6 21187
26 48 14015
52 2 30221
51 80 32059
47 12 5463
65 29 21450
74 49 17820
78 65 5316
5 32 31051
41 25 30537
82 86 9583
80 82 8987
17 50 21245
46 62 6061
57 82 5195
5 26 24401
48 41 16352
59 19 28055
53 25 2328
66 38 13358
19 53 25696
7 30 31730
18 85 26599
19 9 30695
45 7 23319
42 47 26190
70 42 13889
17 70 30750
27 28 16689
23 54 12671
21 19 6833
85 53 5662
13 59 19061
73 9 29587
64 39 28503
78 59 5236
60 26 28510
25 8 4382
85 83 19991
74 70 558
14 20 22266
44 22 24240
57 42 24202
44 64 1538
46 32 12861
56 65 1880
66 83 25588
72 2 3101
9 83 25642
58 86 25001
49 29 27180
86 20 21510
51 20 3054
39 7 11964
43 37 12124
32 19 6609
32 3 15675
76 42 30854
83 57 16886
31 86 15490
30 80 743
78 66 7004
86 56 3833
44 82 3523
11 58 18115
7 20 23653
23 68 14026
51 41 380
62 66 27643
4 65 24196
86 57 15169
65 34 31951
58 13 16954
79 1 32005
16 53 22203
8 51 19861
33 36 2099
3 73 10386
18 75 27129
79 64 26033
49 77 17206
50 25 31870
41 16 19977
23 74 4475
76 45 13270
64 66 9067
40 64 3357
63 57 17956
46 22 13935
1 17 19408
65 75 20515
70 22 18419
39 37 4893
34 68 20207
37 11 29932
23 9 2446
31 22 29097
6 15 3735
63 16 25894
64 28 15841
47 62 3998
5 44 26654
57 75 30559
44 38 12398
33 74 12859
21 25 3655
64 53 24352
12 39 9291
19 22 22008
62 6 24001
9 65 4246
6 64 25733
84 26 2777
35 84 32645
32 65 1929
35 26 28212
58 23 13467
22 74 28523
83 78 25827
83 16 25272
60 20 20057
4 66 26891
31 34 17277
75 60 9784
78 52 893
47 39 22230
26 52 20524
68 43 26200
85 14 18921
67 18 8052
38 15 28939
72 82 1337
30 78 26982
54 34 27999
18 10 2058
19 60 9397
28 54 7244
77 42 19648
51 45 7350
79 2 19931
73 51 13683
53 68 15240
46 68 31050
10 75 28841
27 2 30552
79 17 1782
69 72 2195
2 14 6264
35 75 30063
22 13 28172
57 34 12664
3 8 31731
15 42 31159
46 23 27756
16 74 20235
76 17 22904
22 11 12333
45 53 21823
85 76 8271
2 77 28119
85 43 4089
86 15 2548
21 73 4469
60 73 3310
6 51 18084
83 15 27775
49 59 170
53 15 26810
60 31 24707
52 46 15438
