60 84
20 39 55
22 21 100
31 3 16
54 49 43
48 54 3
30 4 54
34 54 14
48 1 8
2 14 99
10 1 6
28 24 57
29 35 18
59 12 94
5 6 7
53 26 70
49 36 85
33 28 27
26 13 9
11 43 58
23 34 66
16 5 75
54 20 36
52 16 16
5 32 97
33 31 48
36 17 41
20 13 36
47 6 43
18 41 54
26 18 43
12 5 65
51 10 73
38 60 53
24 20 9
51 55 40
53 35 78
41 32 60
37 14 26
37 18 15
23 16 70
50 31 49
44 19 2
49 57 85
6 44 17
48 11 72
16 20 23
52 44 63
12 60 38
26 7 9
39 31 46
47 33 83
1 4 55
46 8 24
25 12 68
59 11 11
9 22 15
39 59 48
1 21 2
47 4 92
55 20 30
2 13 67
3 55 30
56 51 15
19 33 5
36 34 72
36 54 78
26 27 59
17 56 16
11 53 10
24 18 48
57 27 15
26 45 65
13 47 31
24 48 69
38 20 27
19 26 80
23 58 68
19 60 69
3 32 10
39 47 47
15 8 74
40 15 71
42 40 79
58 42 84
