400 26322
341 239 11
17 133 56
223 65 75
77 227 4
58 378 43
265 230 66
4 188 70
61 204 69
121 19 23
131 287 47
170 56 100
390 278 1
33 317 80
8 76 43
222 400 17
176 340 56
89 87 23
266 161 95
82 206 66
393 64 75
344 87 69
213 380 63
120 264 23
217 316 20
231 307 22
153 396 96
322 365 67
231 58 32
90 145 83
279 385 8
297 208 71
125 377 80
380 256 9
378 197 50
76 100 8
104 50 8
90 182 50
105 218 62
315 57 36
99 244 5
114 44 99
187 262 9
131 375 44
260 220 81
253 359 20
121 380 61
108 232 52
326 104 27
10 41 71
234 108 89
384 43 70
217 254 91
268 343 87
251 93 2
366 390 78
104 263 63
102 380 58
318 232 73
16 28 18
58 337 51
309 399 17
326 376 7
345 256 37
44 53 10
126 144 96
224 289 57
243 9 38
156 373 82
376 345 38
339 398 6
135 247 3
329 233 29
205 227 62
380 110 74
92 20 55
41 91 53
364 310 78
323 65 49
357 95 24
347 209 70
50 310 79
290 14 91
118 197 71
287 27 76
26 282 54
360 136 85
342 369 78
67 45 71
305 255 21
121 242 4
155 102 55
192 94 38
31 285 2
121 304 97
369 123 82
165 305 51
370 296 72
361 96 53
236 262 25
66 211 82
61 186 54
193 232 42
272 237 69
55 373 95
240 367 20
287 336 69
270 185 36
398 108 37
184 66 35
47 66 74
273 155 2
279 39 71
153 278 9
59 305 61
41 388 29
371 112 56
346 88 89
261 391 43
247 32 29
163 373 12
354 3 96
211 386 85
25 275 95
322 136 33
209 84 32
10 1 84
248 247 60
64 21 55
370 319 25
335 219 44
240 357 88
177 68 39
126 290 86
282 17 61
190 146 83
246 128 81
227 345 37
396 388 91
352 349 21
43 342 29
135 226 6
51 280 53
345 294 30
161 112 44
87 242 76
75 187 25
259 288 60
92 387 98
4 344 12
264 32 65
73 219 84
175 168 74
287 49 90
178 400 45
181 188 85
119 200 20
275 43 14
400 195 28
278 142 7
279 90 63
244 302 28
168 170 41
70 45 12
354 369 91
70 376 22
246 272 39
106 272 1
174 64 21
272 25 62
267 226 35
26 183 100
103 385 97
258 319 11
89 299 21
180 390 63
33 54 59
83 18 44
380 277 5
171 98 44
83 255 10
352 2 16
171 396 14
261 314 7
256 381 5
273 32 96
319 36 12
180 343 67
168 164 51
173 75 13
51 173 38
180 263 1
383 103 41
1 317 8
190 37 82
214 70 5
173 256 49
268 293 55
349 383 69
188 14 27
70 223 41
237 54 30
37 321 30
389 353 98
155 213 81
33 240 7
263 275 58
138 5 71
368 193 78
103 333 70
325 102 25
153 304 88
399 201 40
53 112 60
340 147 7
306 5 37
190 236 9
208 105 56
274 117 13
352 61 7
237 70 90
23 124 7
57 169 32
147 389 10
385 83 77
167 356 8
232 168 75
25 60 29
7 289 16
279 260 23
122 84 41
135 213 91
52 329 65
144 123 100
168 274 30
126 27 66
187 318 17
343 56 66
36 170 32
134 23 16
265 300 56
61 104 6
246 388 29
105 299 76
284 87 76
157 109 8
56 388 96
160 93 46
148 372 40
20 252 73
160 295 6
109 342 42
56 101 7
304 221 95
365 366 69
73 379 18
363 73 35
45 302 22
85 395 85
287 298 92
16 179 2
348 312 56
286 362 66
200 344 10
203 57 8
373 326 4
395 226 74
89 74 74
393 144 5
47 386 55
72 157 71
202 146 17
354 247 65
190 1 35
297 20 31
185 108 46
365 242 97
93 305 64
47 367 46
78 217 37
244 184 64
43 258 84
172 347 20
384 122 13
186 15 58
251 306 69
217 61 24
265 209 2
265 102 3
7 204 61
4 135 33
182 372 4
175 307 16
325 371 73
175 8 43
139 335 54
13 203 67
374 9 68
3 58 2
100 111 4
57 168 89
337 214 56
341 297 80
314 149 74
47 154 65
122 394 86
70 308 91
128 22 26
347 216 71
400 286 32
162 39 56
345 77 66
305 92 69
93 147 69
112 140 57
67 273 42
146 15 97
