70 87
42 66 50
36 61 10
59 33 38
26 3 44
21 24 37
58 55 68
1 17 83
57 26 2
58 60 80
67 47 66
54 56 62
52 59 16
16 2 66
23 37 17
11 31 50
18 43 81
54 33 76
31 56 74
60 30 80
51 11 3
29 20 88
63 62 12
47 28 59
34 46 91
33 3 21
49 70 16
10 60 100
18 35 69
14 52 11
45 7 57
29 24 71
29 2 98
40 31 46
24 61 62
5 7 15
57 36 82
22 70 20
20 35 70
7 20 59
3 5 33
59 55 1
8 2 23
26 19 24
52 44 11
23 30 57
20 1 49
67 34 97
59 3 66
26 66 69
8 25 48
54 61 6
17 44 53
48 40 41
31 69 63
5 39 24
19 4 27
42 25 14
1 56 50
8 3 8
4 41 47
20 70 49
53 40 35
27 59 81
62 51 3
65 57 37
10 51 7
28 10 58
58 63 17
33 35 3
30 63 71
33 58 46
25 34 95
10 53 61
37 27 46
14 47 61
38 32 58
11 16 4
17 38 28
23 5 14
13 39 31
9 6 63
12 9 262
15 12 151
32 6 312
50 32 441
64 6 162
68 64 166
