100 2907
1 6 80
90 65 65
63 61 49
57 35 16
47 100 97
49 1 42
97 42 76
92 40 50
11 45 35
5 4 27
26 86 29
81 32 47
83 24 73
78 63 51
3 14 30
39 29 19
71 34 37
37 82 56
13 61 56
36 24 59
60 85 43
94 71 12
3 35 30
61 82 8
1 94 21
59 11 100
91 16 71
56 85 70
25 93 22
7 77 70
22 77 24
53 96 95
78 68 72
65 59 80
8 95 28
12 95 72
33 15 44
57 56 9
96 51 45
79 2 11
96 45 18
17 62 76
100 27 83
96 94 31
59 92 37
42 17 75
68 62 48
57 37 86
80 14 32
48 40 38
17 100 88
62 45 39
1 58 56
47 40 28
98 45 11
76 48 30
58 72 44
14 38 69
27 94 27
99 33 65
19 73 90
66 28 17
72 64 2
83 41 9
3 55 66
39 51 56
1 100 12
42 55 89
5 72 48
37 56 15
35 59 78
25 53 69
98 97 26
62 78 6
46 39 33
58 53 25
67 61 36
62 43 86
94 33 38
25 79 35
97 74 67
64 29 9
50 69 44
47 31 87
23 92 3
87 25 8
96 32 31
59 37 58
86 60 48
76 45 29
77 76 76
41 52 33
39 50 38
22 19 34
8 41 57
76 61 43
77 34 5
2 70 93
97 95 11
79 1 24
85 92 12
13 62 8
10 71 29
44 84 20
79 87 68
10 86 71
43 58 59
56 11 60
34 16 92
44 24 47
97 7 44
93 27 96
58 90 22
56 76 94
33 84 16
21 87 93
100 96 85
84 40 85
6 51 21
83 36 79
34 94 9
96 84 57
50 10 38
92 95 26
2 80 75
68 57 77
2 5 8
76 68 68
64 86 51
97 83 95
95 3 57
69 37 51
30 47 50
71 44 10
33 27 55
87 12 93
67 87 75
80 78 11
82 28 75
86 93 4
62 23 40
52 73 87
7 76 54
32 42 28
58 31 1
57 69 43
6 69 29
90 8 34
79 21 65
44 95 17
48 60 62
69 78 13
26 16 55
82 95 58
94 11 33
7 34 79
69 84 16
15 1 1
17 65 81
73 27 90
82 1 35
34 38 39
63 37 11
86 32 47
36 13 32
35 41 57
13 6 20
48 34 24
57 44 82
33 29 72
95 34 29
2 76 44
70 71 52
58 29 30
8 34 97
57 12 36
88 54 73
7 18 34
6 19 27
11 12 26
12 96 58
48 100 49
5 48 30
50 49 56
41 16 44
60 95 74
71 69 7
86 97 46
39 68 82
6 9 66
41 45 16
69 98 95
81 18 35
76 6 25
87 70 42
22 59 28
50 1 32
17 84 92
14 100 79
86 52 21
94 26 40
16 44 11
76 44 99
91 49 35
96 59 34
24 51 85
100 81 46
5 93 82
23 88 27
9 5 79
82 65 72
34 36 86
75 100 53
43 1 69
9 87 26
3 85 96
99 7 43
10 89 79
35 21 18
87 63 88
75 41 31
17 6 24
42 15 21
14 71 21
46 28 51
65 32 91
25 59 66
79 94 65
48 1 26
18 45 71
12 63 89
11 60 63
75 36 78
51 88 57
46 27 66
78 2 63
60 73 70
62 49 44
16 10 95
32 25 31
67 83 16
95 26 83
90 17 45
15 65 76
12 38 21
75 39 8
39 55 39
39 100 100
36 31 49
71 63 77
86 8 71
28 38 53
32 30 35
47 56 8
84 27 50
29 81 45
99 15 100
87 7 45
13 66 32
94 87 36
44 60 91
46 45 24
72 43 90
90 11 60
71 52 31
49 25 84
65 85 69
41 5 100
2 75 24
14 83 52
92 22 21
75 38 50
70 53 20
75 4 41
57 55 62
84 41 89
54 25 40
51 11 57
89 82 2
19 44 88
48 52 86
13 91 92
39 61 67
48 25 58
78 58 20
6 41 62
92 41 89
90 34 92
75 98 34
52 24 50
56 65 12
29 74 18
79 48 86
24 8 22
81 57 89
93 46 74
31 28 71
8 44 46
1 12 3
59 2 41
47 2 44
11 6 3
7 48 94
62 83 66
61 95 71
71 58 71
85 99 32
90 88 41
66 79 3
25 82 99
78 51 89
98 94 53
52 9 38
9 78 70
27 58 71
32 15 32
16 22 68
64 44 55
35 94 70
30 72 97
74 35 37
18 51 74
91 64 26
29 88 88
24 81 35
65 62 98
67 6 94
17 41 34
48 82 16
96 42 66
83 33 62
30 46 59
10 41 5
76 84 62
82 98 26
70 47 20
32 61 87
4 88 90
69 10 47
60 9 2
81 25 80
1 17 90
30 34 42
13 74 58
52 59 92
24 80 94
57 31 77
64 40 76
84 19 76
47 6 63
72 69 5
91 74 36
21 95 67
18 78 22
9 11 25
96 10 20
90 79 7
72 33 52
65 55 73
69 68 23
88 93 98
83 56 1
88 75 49
20 34 78
34 24 55
33 21 41
41 23 58
53 79 68
32 75 47
97 96 57
94 54 43
84 70 9
15 9 100
3 72 82
68 15 62
19 29 7
95 38 85
99 98 65
34 42 35
57 50 87
74 79 55
96 24 53
55 11 9
81 39 6
97 91 24
49 71 80
68 29 80
61 38 88
2 84 3
40 16 41
48 62 57
68 34 46
56 23 39
11 85 75
47 46 58
44 7 17
30 13 60
34 54 76
39 89 99
21 92 42
87 69 24
30 35 66
80 81 97
25 51 9
17 23 23
5 53 72
2 91 61
69 18 74
32 56 59
60 83 12
75 45 77
13 31 35
13 69 4
88 56 62
60 49 49
66 78 26
25 95 77
13 26 73
44 25 65
63 38 91
37 83 3
77 88 21
56 19 44
25 92 84
39 64 68
75 65 38
83 91 25
41 21 74
37 30 66
83 35 71
17 63 20
13 23 74
24 19 53
47 32 4
85 17 83
26 14 10
52 70 19
20 22 59
6 82 13
48 9 46
92 80 45
81 64 24
51 74 80
16 48 38
90 45 91
91 57 54
68 72 62
85 28 44
36 44 92
35 87 45
57 58 37
10 57 17
37 13 75
43 83 85
93 84 87
1 7 18
29 80 37
12 73 38
67 47 49
2 86 16
27 7 40
67 84 30
74 94 65
15 44 27
48 6 8
75 89 20
24 11 60
54 38 61
66 41 49
7 8 27
57 41 47
81 98 24
30 85 37
86 76 85
48 17 2
33 43 96
100 62 18
95 87 23
28 14 66
33 53 8
3 17 13
36 65 9
79 33 14
44 32 22
95 20 1
48 55 10
50 16 82
92 84 44
22 42 41
19 46 59
21 31 53
80 15 56
61 75 73
4 14 47
48 39 34
16 61 45
93 82 55
78 34 3
57 72 47
53 28 45
68 31 31
21 82 50
69 1 56
62 70 87
10 43 57
64 96 46
55 34 69
6 90 82
78 32 40
50 93 74
47 18 65
36 84 97
90 86 47
26 92 97
78 3 70
45 80 80
23 14 29
37 78 66
22 34 63
19 1 15
64 26 29
76 97 77
42 73 73
55 41 22
21 80 97
10 18 35
1 87 46
49 9 55
74 20 90
22 99 57
12 6 57
60 64 66
91 19 92
10 100 84
32 9 89
54 60 46
71 17 79
62 90 33
43 93 34
69 58 47
29 41 69
84 71 73
64 97 65
94 99 91
98 40 16
27 12 57
68 26 29
64 36 95
95 42 82
58 98 56
33 42 99
74 36 50
6 54 39
50 91 5
17 58 86
29 5 64
10 63 99
77 78 100
99 14 33
14 64 53
13 63 60
23 91 20
66 23 73
62 82 14
32 16 64
75 64 45
42 38 90
28 7 59
23 10 37
54 91 96
8 98 20
66 84 14
68 59 7
62 84 97
100 33 12
31 78 20
8 19 65
68 36 36
29 65 65
31 100 81
39 66 27
17 77 11
77 53 75
73 14 65
63 95 1
36 90 64
19 7 4
97 22 64
51 67 57
78 19 47
15 7 39
91 92 81
81 36 52
89 3 8
10 67 4
28 34 98
89 29 54
33 76 16
37 70 75
78 81 66
93 17 6
93 22 73
75 3 11
45 85 55
7 22 22
68 8 92
72 42 6
38 18 90
62 73 78
31 37 56
68 94 66
51 38 93
82 31 16
57 78 47
30 10 82
89 41 23
84 54 26
100 34 70
3 28 15
25 80 92
3 65 26
1 97 31
66 49 29
66 54 9
41 70 1
94 59 80
29 12 16
37 48 36
32 45 48
54 1 82
28 33 27
33 2 21
79 8 73
79 23 9
20 14 18
38 44 1
51 93 48
84 63 58
11 65 70
39 49 92
63 11 99
5 67 16
96 65 31
83 15 46
99 10 59
89 62 76
68 70 86
84 15 100
75 77 12
77 65 96
91 42 78
54 35 19
82 26 40
13 4 45
72 97 4
52 42 5
13 85 54
79 89 67
47 36 71
37 58 93
14 11 90
82 9 67
15 29 45
85 98 98
47 94 76
96 81 93
73 3 41
26 60 17
24 65 94
8 57 8
58 11 31
66 17 98
6 73 23
83 34 98
86 21 73
20 51 18
86 19 33
90 83 7
48 19 24
60 8 78
70 18 95
52 78 5
11 54 87
92 43 34
31 94 31
95 65 37
33 81 33
38 92 80
68 28 54
85 90 21
27 61 23
63 76 12
6 57 30
93 34 92
32 50 8
3 76 3
46 22 93
17 46 53
69 24 60
83 19 91
23 80 48
92 6 17
67 82 99
71 45 94
71 77 60
37 29 19
12 2 99
46 54 52
12 17 48
41 2 88
4 33 53
66 100 1
44 28 24
42 53 73
62 60 95
38 62 77
41 11 15
81 34 33
30 51 12
84 60 31
100 87 72
4 47 1
2 54 36
47 15 55
75 80 64
77 9 44
69 8 97
55 95 2
35 24 20
54 63 45
6 77 32
81 54 74
21 71 100
74 86 56
52 18 81
27 62 50
30 84 45
5 58 4
96 98 58
19 27 37
55 84 79
52 90 9
20 72 64
68 56 23
32 2 20
89 21 88
11 66 46
73 45 57
17 76 49
34 13 42
62 41 91
58 47 51
97 49 2
23 44 40
52 83 71
20 33 76
77 51 41
61 57 83
41 30 7
42 51 23
81 91 16
23 9 90
95 5 39
77 47 79
60 31 28
67 31 18
86 11 70
59 30 42
55 38 30
89 63 92
48 93 12
58 49 73
62 32 86
81 52 96
30 87 20
91 53 38
96 82 36
98 39 94
35 84 84
61 72 89
43 40 61
34 9 59
6 88 34
97 51 95
84 28 37
79 10 52
94 50 53
17 26 12
49 3 45
47 20 61
55 78 71
54 15 29
72 85 17
14 19 64
70 35 45
79 88 61
2 8 26
87 43 81
36 37 55
94 66 21
53 48 95
75 42 39
1 78 59
54 52 7
46 56 32
53 62 58
31 4 77
12 74 10
11 23 73
1 95 44
85 1 16
100 26 23
64 37 88
52 10 97
29 82 25
50 46 82
4 17 85
95 88 55
83 85 49
68 93 46
96 70 8
93 41 22
49 72 35
89 34 48
38 98 73
35 28 10
87 38 17
17 9 43
5 44 98
78 92 81
66 46 10
65 35 44
35 81 71
63 72 12
22 57 44
63 15 21
2 93 51
19 100 94
13 82 9
1 51 40
22 5 73
91 63 68
50 14 62
63 7 89
75 58 70
61 46 33
67 54 11
98 14 28
73 1 96
70 89 48
34 37 71
72 56 47
35 82 84
67 75 87
15 45 46
25 91 22
99 97 53
60 30 63
96 17 49
37 15 24
45 60 47
87 91 63
69 26 13
6 60 37
21 2 65
98 20 57
84 31 51
45 22 23
18 67 7
14 21 23
81 51 61
18 58 81
99 21 16
25 56 13
59 82 49
28 9 42
70 9 66
72 66 46
81 26 56
41 38 80
29 83 50
42 94 3
13 22 45
75 86 100
8 25 36
24 29 96
41 73 29
12 10 84
58 86 38
42 79 60
59 98 98
71 90 75
93 72 50
90 81 78
66 76 94
35 77 80
71 66 49
55 23 78
15 70 90
11 44 56
86 37 19
15 24 2
40 91 91
34 50 76
71 42 20
27 70 6
65 68 27
10 58 14
79 50 25
4 60 88
55 91 84
42 49 32
43 66 85
18 61 33
12 42 79
92 39 24
3 15 54
81 75 73
67 77 75
22 60 100
77 57 50
45 91 72
95 27 91
80 74 36
5 91 31
51 12 48
97 73 4
79 78 1
65 25 8
10 34 88
93 20 37
6 64 92
17 69 87
99 2 70
79 37 29
89 14 16
99 70 64
86 80 81
39 11 2
99 56 88
38 60 87
29 51 2
21 13 31
9 37 52
93 99 90
97 30 97
20 50 54
55 2 79
36 53 68
66 87 10
25 70 84
23 59 1
100 95 68
50 68 42
68 98 97
99 8 56
6 100 85
66 70 14
21 85 9
27 47 77
11 75 74
16 6 56
98 21 65
4 12 99
2 90 68
51 59 76
54 18 68
23 49 25
85 82 52
52 77 14
31 62 99
64 7 75
82 60 45
85 68 58
44 21 69
94 18 23
54 72 57
47 52 99
12 41 48
79 7 42
38 83 29
100 57 46
98 48 42
62 91 88
1 20 38
100 76 40
21 29 62
44 81 89
55 12 100
75 37 4
18 49 47
24 97 75
74 58 34
86 29 16
37 55 5
100 7 22
48 8 66
67 33 75
17 20 65
19 57 21
72 37 63
98 55 80
83 51 90
68 100 75
46 90 89
78 26 47
77 3 45
15 16 66
87 53 84
58 36 43
21 63 79
18 79 67
31 72 38
89 74 3
5 20 11
10 74 8
19 72 65
44 63 24
50 64 47
22 66 61
28 22 79
23 47 37
31 35 74
55 74 30
62 12 32
95 69 14
64 95 28
37 8 93
80 32 64
88 35 54
67 29 12
25 86 39
73 39 61
91 11 19
2 9 21
69 79 42
32 20 6
80 63 36
62 76 69
4 62 80
70 42 75
90 47 17
94 30 96
81 85 39
72 99 98
42 77 70
84 52 32
79 3 40
56 45 82
91 86 4
13 95 40
64 79 56
8 21 4
16 96 1
49 8 97
99 91 100
10 49 60
54 36 79
79 5 20
44 41 90
52 32 64
71 1 90
24 10 47
55 43 91
69 91 32
78 72 51
44 39 53
31 76 60
24 59 39
98 15 91
32 68 65
11 52 16
22 18 43
69 40 2
85 36 52
60 50 18
89 97 6
26 66 59
81 20 77
71 19 23
89 35 63
83 61 10
94 70 56
61 100 17
96 62 22
52 23 31
71 76 30
80 64 73
36 50 27
52 26 60
82 72 58
79 95 37
7 83 96
16 18 77
66 32 95
90 69 29
17 61 46
60 91 15
40 99 94
98 64 68
63 33 54
71 51 44
56 96 19
16 2 12
31 41 45
87 2 31
19 61 78
27 5 82
12 84 7
53 54 96
92 9 26
2 26 30
90 31 21
93 87 27
75 95 5
65 5 73
80 98 49
31 61 58
67 76 18
42 31 8
80 22 80
32 60 98
56 9 43
8 14 4
59 60 17
10 26 52
69 15 98
7 5 59
64 54 64
92 55 62
75 82 90
26 70 29
80 89 72
3 96 74
40 22 69
3 53 56
55 28 37
94 22 73
29 13 36
19 49 19
20 60 77
47 55 2
41 95 63
18 76 70
37 2 80
2 74 10
87 58 63
82 2 19
27 4 84
14 68 87
4 56 2
7 81 12
13 3 39
7 9 55
75 14 98
12 77 65
73 28 47
47 42 55
1 14 29
54 50 100
71 78 19
12 89 46
39 19 62
58 93 9
60 19 73
87 78 58
11 72 8
38 25 49
66 3 45
94 63 13
74 71 73
