80 108
66 34 90
21 13 68
8 40 53
61 50 61
60 7 95
56 31 37
44 64 91
53 7 77
23 36 82
4 52 45
62 66 39
4 1 50
53 56 57
79 17 54
42 77 29
11 57 57
54 32 66
15 78 16
8 26 11
69 74 66
28 34 6
24 28 89
13 43 67
53 78 37
45 80 43
52 22 84
16 61 11
28 26 26
28 50 58
50 30 84
35 69 63
80 29 37
60 36 84
56 3 66
5 74 24
32 55 46
29 52 28
68 40 26
73 34 36
70 32 92
44 55 8
60 35 64
54 42 21
27 70 42
1 47 55
19 3 62
63 20 15
42 59 45
51 43 7
60 50 94
36 21 2
40 77 91
15 30 11
51 76 72
25 46 17
4 40 90
42 20 88
41 47 54
59 74 84
3 66 96
64 67 95
31 73 84
31 22 26
13 29 87
8 44 33
25 12 39
59 61 70
56 30 19
12 50 42
10 70 83
44 19 52
64 33 98
14 18 39
74 70 15
58 71 47
61 70 62
80 24 75
74 47 99
30 70 3
29 56 87
20 68 17
28 1 18
39 75 22
22 38 29
16 49 42
21 42 13
43 45 93
33 32 1
29 19 12
32 9 39
12 57 9
28 17 42
51 68 1
55 52 55
63 80 44
32 12 79
19 64 28
61 13 10
26 3 69
47 75 90
6 2 242
18 2 36
37 18 298
48 18 212
65 37 77
71 2 564
72 2 176
75 48 150
