80 110
35 17 67
34 26 21
35 53 5
37 79 79
55 53 70
8 38 27
32 34 17
35 21 82
9 55 75
49 56 18
27 56 62
54 34 33
65 17 38
76 64 84
2 43 45
31 15 18
3 37 68
73 30 81
24 34 2
47 13 25
31 51 97
35 5 50
33 35 8
14 4 67
76 41 89
10 79 77
43 32 27
74 8 83
33 15 94
37 28 10
62 66 42
3 77 91
23 48 24
71 5 95
35 14 74
56 1 22
32 12 100
65 3 45
51 72 76
17 38 69
71 27 77
6 5 56
75 76 1
25 55 43
70 31 16
5 22 8
40 69 38
24 45 46
6 78 31
68 9 88
53 39 85
31 67 37
44 40 43
41 46 75
19 41 35
70 50 87
51 42 30
52 64 21
58 20 11
56 76 54
59 24 21
79 18 14
67 45 60
27 39 46
65 7 35
9 75 95
70 48 64
4 75 54
64 9 90
79 14 94
1 61 51
59 63 54
56 29 19
60 78 23
42 8 7
75 32 14
30 54 60
19 65 73
23 12 69
30 3 94
68 42 20
10 51 88
58 47 75
6 77 34
9 15 74
42 14 81
66 44 100
15 47 96
34 17 9
5 72 75
15 61 7
67 7 65
42 55 36
39 29 95
53 8 1
62 37 69
24 7 97
17 30 58
5 29 100
68 10 2
33 42 10
23 13 13
32 7 26
28 39 85
54 10 90
13 11 193
16 13 579
36 11 120
57 13 172
80 36 193
80 114
27 24 7
20 29 15
35 1 86
31 60 59
72 53 30
60 30 41
1 49 64
25 70 88
9 45 2
5 60 33
43 30 7
3 49 84
65 38 93
17 52 18
74 23 59
15 24 93
36 48 43
62 24 34
79 33 22
26 45 34
64 40 40
49 75 76
21 44 43
38 56 54
39 28 40
49 6 91
21 47 71
79 67 17
53 27 2
39 17 53
16 68 32
25 23 17
11 76 68
24 30 18
30 23 41
56 67 33
65 60 7
80 6 86
23 80 7
16 61 58
43 28 76
80 39 32
63 13 8
63 45 56
74 42 28
58 61 37
54 19 19
23 71 80
22 47 41
10 15 61
16 70 27
49 9 86
25 42 77
55 29 49
18 7 47
47 54 60
63 75 79
58 40 53
48 50 92
44 67 91
46 33 70
63 9 15
9 13 35
78 74 65
57 70 39
40 52 47
66 52 87
4 32 21
43 10 71
57 41 58
16 22 59
62 57 42
69 52 79
35 10 7
66 51 91
70 35 81
44 26 58
30 77 72
14 43 42
15 42 84
30 14 77
40 56 69
44 5 39
76 63 59
52 9 81
64 77 8
67 63 16
51 36 9
57 39 14
3 8 23
36 69 94
35 11 22
10 66 77
70 71 8
46 34 96
20 25 91
46 1 86
13 67 20
56 53 1
73 74 98
24 4 36
26 43 63
12 11 4
63 78 29
5 10 19
62 8 85
79 4 85
41 77 38
27 11 75
22 8 56
7 2 493
32 2 47
37 7 244
59 37 262
80 117
26 25 44
46 38 58
43 49 48
69 60 91
38 21 2
43 80 34
60 62 87
7 22 6
67 4 83
4 48 88
74 14 54
80 47 75
17 24 71
77 11 21
46 9 3
76 12 85
65 38 6
59 47 97
3 16 52
2 15 11
75 47 90
50 31 95
19 50 52
75 39 75
16 76 77
18 30 26
52 15 43
67 23 33
27 24 19
32 31 31
50 17 5
14 75 51
79 19 74
1 59 69
46 39 74
45 72 74
60 52 37
77 36 76
6 52 60
33 19 94
67 62 90
49 73 41
70 40 47
79 52 22
60 55 4
21 58 41
63 14 85
6 75 74
53 6 28
32 14 52
6 54 69
28 50 17
45 43 6
73 51 72
63 20 77
64 37 85
80 21 87
75 8 21
60 15 29
28 1 69
79 32 63
9 7 94
6 38 5
22 11 6
54 75 100
40 58 29
16 59 24
73 48 97
62 57 52
59 80 36
61 4 26
29 31 42
16 69 14
58 29 34
68 22 43
62 5 5
15 42 80
38 26 62
35 53 5
10 23 90
54 25 2
24 59 5
36 57 74
32 23 78
34 42 42
21 77 22
73 9 47
73 10 83
18 48 87
14 2 70
43 12 34
71 78 79
64 14 73
8 74 53
37 15 77
12 54 43
30 11 59
57 50 38
33 39 38
13 57 89
52 1 89
51 33 12
65 72 84
57 10 83
57 60 48
52 33 34
49 38 89
4 57 6
33 80 11
14 27 57
72 26 64
39 11 31
41 25 138
44 41 19
56 44 194
66 44 410
78 66 226
80 113
67 15 10
22 68 19
39 1 56
68 42 78
17 12 15
1 37 70
54 24 80
45 39 7
21 47 29
60 19 13
23 26 64
12 45 55
1 4 85
32 69 85
45 32 66
27 4 11
55 50 99
24 37 86
18 41 48
57 51 2
74 5 42
1 65 37
37 8 100
66 6 91
36 58 67
80 72 81
70 80 47
26 33 27
23 60 23
67 62 98
64 77 16
44 5 41
40 79 96
60 16 66
54 70 86
18 33 89
25 27 37
10 79 88
17 2 88
5 59 66
38 58 20
26 7 71
73 24 84
54 79 59
51 52 88
30 80 52
67 11 75
13 72 71
52 10 3
28 23 91
26 68 94
33 13 48
77 65 70
57 13 34
17 18 72
72 61 14
12 49 87
71 64 82
72 63 59
49 30 29
68 46 71
60 57 86
76 19 96
80 35 45
43 54 83
35 55 98
37 14 43
54 76 100
8 10 29
27 2 47
32 35 15
16 67 34
24 31 22
63 36 17
8 29 19
7 10 56
4 18 20
73 29 52
43 70 9
45 16 27
61 31 92
30 38 58
50 28 82
19 22 54
38 13 71
15 19 88
28 2 40
17 46 26
66 67 93
35 9 81
31 53 10
75 1 92
1 49 41
58 61 25
35 61 86
53 80 6
58 17 48
18 35 94
63 7 40
51 63 6
26 15 48
8 53 23
52 33 43
22 63 80
60 38 34
20 3 620
34 3 330
47 20 185
48 34 132
53 48 218
56 47 503
59 48 177
78 53 235
80 110
49 78 72
29 43 79
32 56 35
52 62 91
8 25 61
46 17 87
40 41 72
15 54 27
13 3 36
18 9 82
38 8 76
70 15 7
41 52 58
77 14 20
21 35 14
10 55 30
72 4 7
55 16 32
46 3 49
16 61 34
11 17 19
29 25 65
80 9 30
48 27 91
48 16 94
13 69 72
15 26 77
14 4 56
47 40 34
61 28 37
15 8 97
56 63 22
57 61 16
60 34 74
48 50 94
16 2 1
29 26 80
29 1 78
60 78 90
75 18 44
75 66 53
16 21 16
64 21 46
43 74 55
45 56 37
35 8 40
8 79 10
25 59 95
50 28 87
41 64 49
78 32 82
71 52 83
61 40 70
72 6 23
3 67 7
20 33 65
30 43 62
8 24 33
15 21 54
48 72 59
64 38 13
42 50 91
39 36 75
2 66 55
67 4 47
23 56 35
61 56 21
71 40 11
27 46 65
74 71 69
12 66 32
45 79 41
25 15 82
15 78 52
52 4 87
48 53 51
40 37 36
