40 62
10 9 58
16 2 56
24 28 70
35 13 25
35 7 6
3 22 41
16 8 14
1 36 50
40 5 21
6 11 17
3 23 66
14 26 65
31 19 47
19 6 11
35 22 8
8 30 68
32 12 30
30 19 33
39 18 82
18 5 84
6 29 56
29 31 3
23 12 37
18 33 37
11 16 7
7 1 16
18 28 77
20 19 49
37 22 74
8 18 75
27 29 9
35 12 89
30 5 59
36 2 79
24 26 97
5 31 58
19 11 35
32 39 51
28 3 49
17 31 25
25 7 76
5 7 70
37 8 52
27 33 29
4 15 100
21 1 51
4 13 86
20 32 24
22 29 76
25 1 17
26 8 91
30 6 63
1 23 80
13 38 21
4 37 14
35 26 38
16 39 38
1 6 54
7 39 53
24 25 33
34 9 73
38 34 86
