100 153
17 99 21
94 82 8
23 43 46
51 97 96
83 7 15
53 48 44
92 23 24
25 100 4
91 37 30
76 2 89
4 80 15
50 20 9
13 60 88
47 69 68
3 95 90
54 37 65
15 71 69
94 38 100
6 57 55
90 4 8
29 17 88
74 44 6
61 39 32
34 28 55
89 23 27
38 100 89
85 56 60
97 25 20
52 13 64
58 84 33
40 6 58
48 38 3
12 30 74
91 51 24
37 11 74
48 4 87
22 35 3
16 64 80
20 77 1
75 62 11
94 2 16
47 45 43
6 33 2
98 85 7
33 28 26
75 26 84
61 36 27
17 15 58
46 52 14
73 82 95
99 68 44
78 49 82
1 17 92
89 3 35
56 97 3
1 19 63
60 86 100
54 5 81
65 82 67
24 36 88
47 76 61
73 35 56
19 94 31
87 80 46
46 72 10
10 8 92
92 10 94
50 48 9
4 9 78
7 27 48
8 73 3
82 43 53
38 5 71
71 34 35
21 7 98
17 80 33
38 57 89
33 9 97
73 24 39
69 28 88
13 51 5
98 57 38
7 15 72
11 7 7
67 84 70
3 49 61
37 82 21
16 21 51
62 84 40
29 68 73
9 66 65
14 66 52
85 19 56
65 58 89
95 21 83
43 88 22
18 58 99
95 52 80
17 94 79
48 6 59
43 97 78
32 86 73
80 18 93
12 92 59
56 29 13
94 68 40
54 16 34
17 95 41
14 96 50
86 14 70
59 39 92
2 39 4
7 35 92
24 21 53
87 51 17
30 76 25
41 30 40
16 6 41
57 78 87
81 85 56
2 35 63
5 4 27
93 36 83
28 52 33
19 73 10
93 1 99
91 68 81
67 83 46
100 53 69
86 39 67
44 21 99
50 85 95
58 39 65
66 2 81
40 53 32
99 57 88
61 34 81
21 4 64
72 5 88
87 65 74
63 89 28
70 4 26
40 58 66
68 16 96
60 57 73
98 24 6
51 96 47
55 74 75
7 91 1
83 100 65
42 31 149
79 42 169
96 79 146
