40 52
10 25 3
20 39 48
1 26 96
23 29 60
13 14 96
39 16 64
16 15 29
31 4 61
4 24 9
33 26 26
4 14 88
21 29 100
15 27 88
32 39 69
24 8 50
15 38 18
30 10 72
14 17 81
20 30 90
40 14 71
1 35 50
6 13 65
29 34 17
32 29 80
34 28 80
1 18 100
38 2 57
10 29 56
27 13 55
9 15 42
1 15 94
24 18 79
4 25 42
22 37 79
40 12 25
3 36 42
11 3 43
8 5 30
22 3 24
22 11 53
18 9 51
32 1 47
8 37 2
17 10 57
30 17 67
10 11 84
13 15 36
2 3 47
25 5 95
1 36 64
19 7 72
36 19 358
