90 120
27 37 89
50 29 81
64 34 37
33 39 86
80 43 71
39 4 52
40 10 92
75 32 44
67 46 84
27 46 47
78 44 46
13 47 42
36 69 52
18 26 10
82 4 39
63 13 23
18 70 98
24 19 50
48 22 90
40 25 45
67 35 76
83 86 15
5 9 54
2 51 11
89 65 30
49 71 65
4 41 74
73 12 47
80 59 41
89 74 52
2 29 61
24 43 2
74 48 4
45 53 10
43 90 60
30 73 31
32 48 81
26 70 4
35 4 7
29 37 94
57 37 55
73 21 4
62 68 87
67 8 34
41 76 67
16 57 73
20 2 64
6 1 21
83 76 4
66 53 31
48 47 91
67 10 55
37 47 79
63 79 59
16 80 26
42 65 86
27 48 61
72 44 30
44 20 86
4 90 44
3 13 12
41 29 49
35 66 57
42 77 85
29 43 83
51 18 28
61 68 25
72 36 91
39 60 83
72 9 24
69 42 80
87 51 74
21 3 18
55 38 77
49 3 76
40 13 39
58 64 58
88 58 36
1 58 56
34 62 53
25 86 54
12 77 44
79 16 80
16 56 94
66 4 11
56 71 4
41 52 6
67 38 84
43 10 58
67 58 73
36 21 90
64 77 35
81 53 52
45 49 52
55 65 40
72 28 68
33 61 47
27 77 71
76 34 12
3 36 15
65 19 95
64 45 5
39 85 66
37 12 84
49 1 57
48 85 37
54 45 59
27 78 82
54 90 1
29 22 48
77 74 50
44 5 77
11 7 103
14 11 481
15 11 295
17 7 209
23 15 112
31 11 34
84 15 254
85 84 98
