0  "UiO"
1  "UiO"
2  "HiG Gjovik"
3  "UiO St Olavsplass 5"
4  "Statenskartverkgeodesi"
5  "HiBU Kongsberg"
6  "UNIK Kjeller"
7  "HiBu Honefoss"
8  "UiTo"
9  "HiN Narvik"
10  "HiBU Drammen"
11  "HVE Borre"
12  "HiF Vadso"
13  "HiF Kirkenes"
14  "HiF Hammerfest"
15  "HiF Alta"
16  "HSH Stord"
17  "UiB Hoyteklogibygget"
18  "HiT Porsgrunn"
19  "UiA Arendal"
20  "Hit Rauland"
21  "UiA Grimstad"
22  "UiA Kristiansand"
23  "UiS Stavanger"
24  "VetHS Sandnes"
25  "HSH Haugesund"
26  "UiTo"
27  "HVE Eik"
28  "Longyearbyen Skole"
29  "HiH Harstad"
30  "NRS Andoya"
31  "SA/SH Kautokeino"
32  "HiNT Namsos"
33  "UNIS Svalbard"
34  "HiNT Steinkjer"
35  "HiNe Sandnesjoen"
36  "HiNe Nesna"
37  "NB Mo i Rana"
38  "HBO Mo i Rana"
39  "HBO Bodo"
40  "HSF Songdal"
41  "UiB BT"
42  "HiA Alesund"
43  "HSF Forde"
44  "HSM Molde"
45  "HVO Volda"
46  "HSM Kristiansun"
47  "HiNT Levanger"
48  "UiTo Karasjok"
49  "HiT Bo"
50  "HiT Notodden"
51  "Hing Stjordal"
52  "HiAK Kjeller"
53  "HRP Halden"
54  "HVE Larvik"
55  "Eiscat"
56  "HiO Sarpsborg"
57  "HiO Halden"
58  "UMB As"
59  "HiO Fredrikstad"
60  "NyAlesund"
61  "HSF Sandane"
62  "NPolar Svalbard"
63  "HiNe Mo i Rana"
64  "HH Hamar"
65  "HiL Lillehammer"
66  "NTNU Hovedbygget"
67  "NTNU Realfagbygget"
68  "UNINETT Teknobyen"
69  "HH Tynset"
70  "HH Evenstad"
71  "HH Rena"
72  "HH Elverum"
73  "HH Kongsvinger"
-1
0 1 10
0 3 10
0 41 10
0 49 1
0 73 1
0 58 1
1 56 1
1 67 10
1 6 1
1 3 10
2 65 1
2 3 1
3 41 2.5
3 10 1
3 66 10
3 22 2.5
4 7 1
5 10 1
5 50 1
5 7 1
6 52 1
6 7 1
8 26 10
8 67 10
8 29 10
8 15 1
9 26 1
9 29 1
9 39 1
10 11 1
11 56 1
11 27 1
11 54 1
12 13 1
12 14 1
13 48 1
14 26 1
14 15 1
15 31 1
16 17 1
16 25 1
17 40 1
17 42 2.5
17 66 10
17 41 10
18 49 1
18 19 1
19 21 1
20 49 1
21 22 1
22 49 1
22 23 2.5
23 24 2.5
23 41 2.5
23 25 1
26 66 10
28 33 1
29 39 2.5
29 30 1
29 33 1
31 48 1
32 34 1
32 37 1
33 60 1
33 62 1
33 55 1
34 66 1
34 47 1
35 66 1
35 36 1
36 37 1
36 39 1
37 67 2.5
37 38 1
37 39 2.5
37 63 1
40 43 1
40 61 1
42 66 2.5
42 44 2.5
42 45 1
43 45 1
44 46 10
46 68 10
47 51 1
49 50 1
51 67 1
53 57 1
56 57 1
57 59 1
58 59 1
64 72 1
64 65 1
66 67 10
66 68 1
67 68 1
68 69 1
69 70 1
70 71 1
71 72 1
72 73 1
