0  "Varanasi"
1  "Udaipur"
2  "Hadiagarh"
3  "Sitapur"
4  "Dehradun"
5  "Lucknow"
6  "Kanpur"
7  "Fatehpur"
8  "Jaunpur"
9  "Allahabad"
10  "Patna"
11  "Bokaro"
12  "Hazaribagh"
13  "Gaya"
14  "Kolkata"
15  "Satna"
16  "Dhanbad"
17  "Asansol"
18  "Rewa"
19  "Jhansi"
20  "Torangallu"
21  "Bellary"
22  "Goa"
23  "Hubli"
24  "Solapur"
25  "Belgaum"
26  "Raichur"
27  "Gulbarga"
28  "Chitradurg"
29  "Panjim"
30  "Ranchi"
31  "Jamshedpur"
32  "Coimbatore"
33  "Thirussur"
34  "Rourkela"
35  "Kharagpur"
36  "Cannonore"
37  "Mangalore"
38  "Palghat"
39  "Kozhikode"
40  "Rohtak"
41  "Gurgaon"
42  "Bhatinda"
43  "Kot kapura"
44  "Noida"
45  "Meerut"
46  "Delhi"
47  "Sonipat"
48  "Moradabad"
49  "Bareilly"
50  "Chennai"
51  "Kanchipuram"
52  "Bangalore"
53  "Kolar"
54  "Hassan"
55  "Mysore"
56  "Ongole"
57  "Vijayavada"
58  "Tirupati"
59  "Nellore"
60  "Raipur"
61  "Bhandara"
62  "Nagpur"
63  "Wardha"
64  "Amravati"
65  "Buldhana"
66  "Akola"
67  "Khandwa"
68  "Bhubaneshwar"
69  "Dhenkanal"
70  "None"
71  "Jabalpur"
72  "Damoh"
73  "Sagar"
74  "Callicut"
75  "Nanded"
76  "Ahmednagar"
77  "Pune"
78  "Satara"
79  "Visakhapatnam"
80  "Chandrapur"
81  "Hyderabad"
82  "Sangareddy"
83  "Chandigarh"
84  "Kolhapur"
85  "Sangli"
86  "Ambala"
87  "Dhar"
88  "Ujjain"
89  "Gandhinagar"
90  "Himmatnagar"
91  "Ahmedabad"
92  "Anand"
93  "Bhopal"
94  "Ratlam"
95  "Indore"
96  "Vidisha"
97  "Aurangabad"
98  "Jalgaon"
99  "Nasik"
100  "Dhulia"
101  "Valsad"
102  "Mumbai"
103  "Bharuch"
104  "Surat"
105  "Godhra"
106  "Baroda"
107  "Karnal"
108  "Talwandi Bahi"
109  "Kollam"
110  "Ernakulam"
111  "Thiruvalla"
112  "Kottayem"
113  "Tirunelveli"
114  "Tiruchendur"
115  "Kanyakumari"
116  "Trivandrum"
117  "Allepey"
118  "None"
119  "Gwalior"
120  "Rajgarh"
121  "Ajmer"
122  "Agra"
123  "Mathura"
124  "Ghaziabad"
125  "Kota"
126  "Bhilwara"
127  "Tonk"
128  "Jaipur"
129  "Sivakasi"
130  "Trichy"
131  "Tirupur"
132  "Erode"
133  "Salem"
134  "Palladam"
135  "Chidambaram"
136  "Pondicherry"
137  "Pathankot"
138  "Hoshiarpur"
139  "Amritsar"
140  "Jalandhar"
141  "Ludhiana"
142  "Patiala"
143  "Ramanathapuram"
144  "Madural"
-1
0 8 1
0 10 1
1 91 1
1 126 1
1 126 1
2 3 1
2 5 1
3 49 1
4 5 1
5 8 1
5 6 1
6 7 1
7 9 1
9 18 1
9 19 1
10 13 1
11 16 1
11 17 1
11 12 1
11 31 1
12 13 1
12 30 1
14 35 1
14 30 1
15 18 1
15 19 1
15 71 1
16 17 1
19 119 1
20 26 1
20 52 1
20 21 1
21 25 1
22 29 1
22 37 1
22 23 1
23 25 1
23 54 1
24 25 1
24 27 1
24 76 1
25 84 1
25 29 1
26 81 1
27 81 1
28 37 1
31 34 1
32 129 1
32 130 1
32 131 1
32 117 1
33 117 1
33 38 1
34 60 1
35 68 1
36 37 1
36 39 1
37 74 1
37 118 1
38 39 1
40 41 1
40 142 1
40 47 1
41 46 1
42 108 1
43 139 1
43 108 1
44 46 1
45 48 1
45 124 1
46 128 1
46 128 1
46 47 1
46 123 1
46 124 1
47 107 1
48 49 1
50 58 1
51 136 1
51 58 1
52 132 1
52 133 1
52 70 1
52 70 1
52 53 1
52 55 1
53 58 1
54 118 1
54 70 1
55 74 1
56 57 1
56 57 1
56 59 1
56 59 1
56 79 1
57 81 1
58 59 1
58 59 1
60 61 1
60 69 1
60 71 1
61 62 1
62 64 1
62 63 1
63 80 1
64 65 1
65 98 1
66 98 1
67 98 1
67 87 1
68 69 1
69 79 1
70 118 1
71 72 1
71 95 1
72 73 1
73 120 1
73 96 1
75 97 1
75 82 1
76 97 1
76 99 1
76 77 1
77 102 1
77 78 1
78 84 1
78 85 1
80 81 1
81 82 1
83 141 1
83 86 1
84 85 1
86 107 1
87 88 1
87 95 1
88 93 1
88 94 1
88 95 1
89 90 1
89 92 1
90 91 1
91 92 1
91 94 1
91 105 1
93 120 1
94 126 1
95 96 1
95 120 1
97 98 1
98 100 1
98 104 1
99 100 1
99 102 1
101 104 1
101 102 1
103 104 1
103 106 1
105 106 1
108 141 1
109 116 1
109 110 1
110 112 1
110 111 1
110 111 1
112 117 1
113 144 1
113 129 1
113 114 1
113 115 1
114 115 1
115 116 1
119 120 1
119 122 1
120 125 1
121 128 1
122 123 1
125 127 1
126 128 1
126 127 1
127 128 1
129 130 1
129 144 1
129 143 1
130 134 1
131 132 1
133 136 1
134 135 1
135 136 1
137 138 1
137 139 1
138 140 1
140 141 1
140 141 1
141 142 1
